date,timestamp,ch1_entropy,ch1_skewness,ch1_interquartile_range,ch1_kurtosis,ch1_percentile_75,ch1_range,ch1_maximum,ch1_median,ch1_percentile_90,ch1_mean_absolute_deviation,ch2_entropy,ch2_skewness,ch2_interquartile_range,ch2_kurtosis,ch2_percentile_75,ch2_range,ch2_maximum,ch2_median,ch2_percentile_90,ch2_mean_absolute_deviation
2024-11-10,2024-11-10T22:36:25.874086,6.06047203852781,0.7522165551812736,6.754338259640306,0.6128021324023618,-117.76552524344143,29.52625863140878,-101.76031185598694,-121.4057054910014,-113.23602294155558,4.191150458011928,6.061244065713172,2.017544220442663,3.203267131707264,7.40908600593157,-143.25414740211062,23.158672766220377,-126.11161580429507,-145.23098164144608,-140.93512717309872,2.1657443457647054
2024-11-10,2024-11-10T22:36:28.268091,6.060619401826733,0.9279980209798697,5.6429148046988615,1.453315004319852,-118.64840181175649,27.68253315510225,-102.46955450084928,-121.40175289735589,-114.3423107204272,3.7225765847762435,6.061237204844834,1.7546180798579838,3.302131364179843,5.867041330968526,-143.0797166581715,24.11446477033813,-126.66804728385422,-144.95032021273,-140.34985812090497,2.2072233169552193
2024-11-10,2024-11-10T22:36:30.661020,6.060634433587791,0.7821289467667498,5.858760186600108,0.9371282186853391,-118.12696177173447,27.47482397565949,-103.25321056890158,-121.38494622164329,-114.46066893746189,3.7720239140553593,6.061260343499233,1.9515354936829523,3.0926862651084264,7.18799488454793,-143.5513965297841,22.276403907833128,-126.91075482726947,-145.18143140246724,-140.89689938215898,2.0462563991149563
2024-11-10,2024-11-10T22:36:33.057899,6.060546133577981,0.5938133824879924,6.134952643042823,0.26550900120241305,-117.5054765350387,26.432456938695452,-104.14634955482902,-120.74807529960766,-112.51927906419667,4.04184736455646,6.061266007925548,2.2198744093814504,2.8864055720599424,8.552329221535194,-143.76975106503,21.92292232542998,-126.88053986626345,-145.55875704759603,-141.4058194961636,2.011916174234128
2024-11-10,2024-11-10T22:36:35.458062,6.060694830396854,0.7422192081772846,5.756254881697998,1.096888124150972,-118.05658551605018,26.60872980503123,-103.14654586148939,-121.23433029414201,-115.21165473087851,3.6021249089917977,6.061235227817528,1.8042938474633898,3.4281958026233497,5.733657580321385,-143.26695040632984,22.33480715525195,-127.23472306618172,-145.23735140752083,-140.6693306877159,2.232260075693677
2024-11-10,2024-11-10T22:36:37.860908,6.06064724555538,0.8675970489651286,5.487906744284629,1.5922929575543279,-118.59242752137091,29.629592233091373,-102.3568025098112,-121.47854080027608,-114.5280389209363,3.642670352686633,6.061245947507288,1.9015735598746644,3.4314799801667846,6.4929445618778985,-143.39340167024258,22.63727997558526,-126.63592937884785,-145.51020982743378,-140.8369632909157,2.191515311686638
2024-11-10,2024-11-10T22:36:40.261739,6.060547219368832,0.7974183889123505,5.8935262498095256,1.0197342046459736,-118.33802709786283,28.101083933957867,-102.56716589173605,-121.37645849017059,-113.63970063946293,3.9141887674116624,6.061258158915125,1.9287172338263048,3.515636059990726,7.397775579335772,-143.12784836771635,22.885784492885094,-126.50293302830376,-145.17298755194247,-141.31462063523642,2.137344821285078
2024-11-10,2024-11-10T22:36:42.673012,6.060647628535985,0.8919958437884181,5.300246420197453,1.2217387368580663,-118.38246309876943,26.550077720888893,-103.53811437053174,-120.73401028821898,-113.62720643960192,3.6325468457303605,6.061253624305952,2.0231121282161517,3.3537813450182625,7.416688284796098,-143.35255496535171,23.540010462601543,-126.7243127295263,-145.35693207508814,-141.21332234035881,2.1260860601109597
2024-11-10,2024-11-10T22:36:45.666509,6.06070601909812,0.7776743250070632,6.179084247607378,1.2334547779776894,-116.891896886583,25.634738751985722,-103.58315086368812,-120.53394727660014,-114.45777021237019,3.586092003844543,6.0612429462780755,2.008278388612777,2.8466628528746583,6.056786343928435,-143.66318837233808,21.22892409830024,-128.4159800166693,-145.30536699976855,-140.60489854870303,2.095936515345565
2024-11-10,2024-11-10T22:36:48.058724,6.060666879009141,0.944360320358706,5.757889561535876,1.702192661023921,-118.45465739020263,27.759430018942396,-102.74371509917285,-121.2665449271863,-114.92252997827687,3.620641011863151,6.061218498643449,1.7464472304987786,3.3627804450773056,4.774476284911482,-143.14153287727166,22.62912795653841,-126.86778745331284,-145.43076893655677,-139.76081688205812,2.3410544645316547
2024-11-10,2024-11-10T22:36:50.462868,6.060522440039392,0.7887331111824524,6.424669931868195,1.0225732905685332,-118.09394780453998,29.256692916405015,-101.64461740987092,-121.08101994033247,-113.355962045866,4.004552268223383,6.061257273782928,2.2237286579690227,2.993387757201191,8.467525222683982,-143.59237530410033,23.20161908973867,-126.24343163207314,-145.2642171147529,-141.19504812039318,2.021838567827799
2024-11-10,2024-11-10T22:36:52.864311,6.060654716935209,0.7638943997326485,5.31950812397973,1.2617820187778337,-118.32699739964333,27.637582028348362,-103.37996557949762,-121.00894383163777,-114.84971886808388,3.655377482191253,6.06125854657143,2.121864060797479,3.0030891121753314,7.82278208772961,-143.47849065435403,23.361505752713768,-126.32785715661329,-145.37613387836768,-140.9054877442582,2.0558639825191536
2024-11-10,2024-11-10T22:36:55.264403,6.060509874290617,0.7487843501918139,6.463715735235169,0.8439386183015278,-117.8025515328757,28.604225388550987,-103.05912119866574,-121.61195188495077,-113.54728277875238,4.0548784483700615,6.061249999757397,1.9712726277269745,2.9766993542763203,7.3906393874674094,-143.43052758918145,23.028219553860353,-126.26365026037583,-145.0236741064813,-140.83925110945896,2.0634725290592675
2024-11-10,2024-11-10T22:36:57.684815,6.060585181871575,0.7012996795390696,5.820019063699078,0.6354989887196458,-118.02340175394824,26.40965072731848,-103.51958410503062,-120.70028681314196,-113.30334951569095,3.887586390383735,6.061265175757617,2.0545633684862112,3.232531743370288,7.837174419405526,-143.23906369097705,22.294521208570274,-126.95899255972014,-145.2294572439587,-141.2350301645743,2.0530542866400183
2024-11-10,2024-11-10T22:37:00.072185,6.060597292415977,0.7020472500571777,6.216688100752862,0.9365194369679632,-117.1247665747324,28.4911999328188,-102.59663425436713,-120.5909617966273,-114.20438908424548,3.8355289466575773,6.061263911014345,2.1555226924789954,3.538679997387476,9.210883560167952,-143.0998799788532,22.69196439365342,-126.13529872714375,-145.27089393462143,-141.77856185606996,2.0575964859307865
2024-11-10,2024-11-10T22:37:02.472110,6.060670278243393,0.7765194554008948,5.963876140081894,1.1857233706881454,-118.01767369719931,26.86081389964879,-103.21663884101936,-121.2434751017905,-114.66803729062809,3.6904523285600512,6.061256941249541,2.1102586135493087,3.111455055535288,8.31729515539146,-143.50669026882488,23.16430932482254,-126.37851355917735,-145.26594642136305,-141.3896317791477,2.051199244447715
2024-11-10,2024-11-10T22:37:04.859512,6.060720050287647,0.9505527109200917,5.263398853816355,1.979192098901553,-118.30141314841954,27.336787991250077,-102.40932088820799,-121.0686733674393,-115.11763438092211,3.4516017597737236,6.061239285171781,1.7374959133595838,3.793463642646742,6.186805234042627,-142.90352332136092,23.696603962370972,-126.83230218207152,-145.0791391787092,-140.81477542773553,2.2079085547301793
2024-11-10,2024-11-10T22:37:07.241749,6.060625813023942,0.8109809364931782,5.660541392436983,1.0173047423127404,-118.05257316344432,26.597034341864727,-102.85463990535838,-121.39570212909305,-113.73462136071926,3.766318273505937,6.061260795770256,2.0812217150661905,3.140561811972418,8.559911842922252,-143.4128230996819,23.517561218870526,-126.57703402829668,-145.22619594460326,-141.52374203847774,2.0461529770438385
2024-11-11,2024-11-11T10:42:47.572539,6.060234024189025,0.5215956463075452,7.148551785576814,0.5691528595164281,-121.28903586861355,32.795940487387966,-104.70336061073498,-125.79686083281757,-117.6467887539293,4.748711009058159,6.061348550005944,3.324499824459831,1.475363566803253,15.624481194602456,-147.45679949709424,19.034574710150423,-132.12610673288634,-148.2821400896733,-146.31720130475333,1.2706283170393844
2024-11-11,2024-11-11T10:42:49.972750,6.06024426568909,0.44027648374383566,7.568354577787957,0.6358576221567911,-121.21253512272033,32.30144334583112,-104.00732991867658,-125.3057142938745,-118.63831805879697,4.758795900729625,6.061345873138423,3.503887549825277,1.3872104931736828,17.946369678484928,-147.57415884737918,19.980584510197673,-131.48742864211738,-148.34698152794502,-146.52298077160128,1.2759464287741598
2024-11-11,2024-11-11T10:42:52.372810,6.060266477164163,0.47174074085803264,7.552393831496346,0.4118437158535766,-121.16092463247102,31.129738604231463,-105.33639534835764,-125.75169175569673,-118.2265871843569,4.767658751071265,6.0613474713266235,3.3757580632548403,1.3594798397222405,16.69039219311595,-147.51078490177574,21.573021108061766,-131.3752975022509,-148.26374867753407,-146.09697855096212,1.2653631905903633
2024-11-11,2024-11-11T10:42:54.789377,6.06026446362344,0.38668244694724113,6.588557080127174,0.43971710479665305,-121.07608847676846,31.597440511697982,-104.39003801365035,-125.2036670868055,-118.04404330998503,4.711712700216084,6.061339583846037,3.095483087923552,1.6191235467727552,14.632310003457118,-147.24152905724668,20.604248934487458,-131.2362274552663,-148.09127560440294,-145.66366646675846,1.3708155106669606
2024-11-11,2024-11-11T10:42:57.188175,6.06021994475525,0.5554505638133509,6.7211381828871595,0.5680114515988808,-122.08111785945846,31.877065915724415,-104.76425004603266,-125.73100320786666,-117.32303474647348,4.708958746410414,6.06134786030122,3.3315576463143493,1.4559937490379298,16.62526740731056,-147.41425058968082,20.58606595468393,-131.66922019500151,-148.1927786759252,-146.1235328889029,1.2745361074501689
2024-11-11,2024-11-11T10:42:59.597868,6.060279154267575,0.5898580429111769,7.199015185302528,0.6214843557351055,-121.25090605591686,32.396595714708894,-105.03679721861283,-125.77749700482661,-118.02557021475572,4.652702284338519,6.0613534371424205,3.634612200051731,1.3777499251100949,18.358698692327998,-147.61558236190697,18.376573932814125,-132.04197143727203,-148.37463823327755,-146.46926630458984,1.2181863648411149
2024-11-11,2024-11-11T10:43:02.016986,6.060251144438203,0.4064979070120854,7.06211948048896,0.44226459057364176,-121.4219549682371,31.83371668020297,-104.72604122746671,-125.68624763855631,-118.2090203300644,4.838336788284937,6.061342950097194,3.571610250378697,1.4533856248564803,17.879499869813937,-147.5659714677674,20.263182698269247,-131.89711602335785,-148.3376743682911,-146.456575856475,1.2593771204628508
2024-11-11,2024-11-11T10:43:04.444181,6.060278778127124,0.43013472576193146,7.686700794304741,0.3507795063904817,-120.90271393520986,31.20811291243767,-105.7633839760448,-125.84321506291653,-117.99785021467973,4.7220290751655325,6.061342310322887,3.5309857819621158,1.466849729413127,17.308866422764186,-147.6057581164458,20.07126552750998,-131.62496504089046,-148.35926856533388,-146.63535188255298,1.2703469911718808
2024-11-11,2024-11-11T10:43:06.853266,6.060194831302433,0.3665119193632007,8.112170188482338,0.15841299715315404,-120.80755860846452,31.640154375401394,-105.00969416914559,-125.23816667039318,-117.88432737695665,5.001392491801815,6.061346476649058,3.6445602771282655,1.606150986606508,19.355916211187203,-147.40323588276223,19.617757170520548,-131.44453107556805,-148.32514238381822,-146.23563965863852,1.276850281482124
2024-11-11,2024-11-11T10:43:09.284617,6.060320545724925,0.6155444289177954,6.260673912267663,0.7286371089594113,-121.94477555094929,30.508117419396797,-105.67437560915343,-126.26642431644399,-118.47404242448758,4.5542398984335355,6.061351935450866,3.438609096872871,1.4994212289705047,17.32072869634023,-147.33555776937055,19.966011083193848,-131.70790666997138,-148.2040181016906,-146.2324730647922,1.2690094159379692
2024-11-11,2024-11-11T10:43:11.799826,6.0602957635589245,0.5022071823155264,6.822687133106342,0.527126766431838,-121.5156454088343,30.64763335768599,-105.51058384479198,-125.71491938309,-117.37629127793846,4.574042302358125,6.061332774337297,3.2624473113265013,1.5591144010362825,15.464333714280574,-147.41018612212048,21.28677605218897,-130.83956726853953,-148.27657653687572,-145.91137799794163,1.3969436935501187
2024-11-11,2024-11-11T10:43:14.236215,6.060218746107919,0.46183458875400774,6.940986404926733,0.31770209993142196,-121.20385065022207,31.226627541782634,-104.97920761025556,-125.95378595896543,-117.62731169673545,4.901848691589399,6.061350515520763,3.3822408267158397,1.5042937337384217,16.58866564192359,-147.33661566301438,19.352103727576065,-131.86226561853596,-148.16623766103336,-146.22254702013834,1.2649666425442987
2024-11-11,2024-11-11T10:43:16.668706,6.060292273122609,0.5252417975192897,6.585259073746386,0.5935209839315156,-121.7472372940573,30.987165077084484,-105.26543019071613,-125.91449104680709,-117.72857893379523,4.572376785154776,6.061343712801444,3.261111456672731,1.6277414116412388,14.910736458178466,-147.27989931508824,19.468693285068383,-132.31828215003222,-148.18361474889358,-146.35189191974982,1.326590991324031
2024-11-11,2024-11-11T10:43:19.086624,6.060250306758755,0.5184958458765211,7.117798693091245,0.6736734981135362,-121.43284931366706,32.06192820508687,-104.36475110128978,-125.82014858214792,-118.55250920850428,4.756225533696747,6.061349890084995,3.540296126069182,1.5845395670090454,18.31419510583403,-147.2889332011042,19.09401756156808,-131.69218802224094,-148.07738178020463,-146.07845621703564,1.2682338391625985
2024-11-11,2024-11-11T10:43:21.497524,6.060359867141776,0.6014318891385115,6.988418285031912,0.5895268809137741,-121.39326819344964,30.158734336610436,-105.82596957485576,-125.89253641643175,-118.10540204454021,4.573081021520932,6.061351208756313,3.414352581554656,1.5377151230312052,17.19763215038523,-147.38594169773705,19.73074188697248,-131.5672259680344,-148.23424826766646,-146.19744897908646,1.2749237770934558
2024-11-11,2024-11-11T10:43:23.936057,6.06025761363346,0.3800556268717825,7.039347521539128,0.5706617622835406,-120.64844458206166,33.47400862547735,-103.77125538989819,-124.9555555092296,-118.08929135003628,4.695303160600892,6.061341333379707,3.3454907771033997,1.559838598885733,16.667534284205157,-147.49577364978023,21.447382308416138,-131.79346958636708,-148.37019231041776,-146.16548157799303,1.3363524226471633
2024-11-11,2024-11-11T10:43:26.348088,6.060248245585442,0.5173112422836025,6.794923185768198,0.49554571371963574,-121.54999749537143,32.13937426475479,-105.41472770666286,-126.15536241062108,-117.24291042702863,4.727610231146774,6.061353817460057,3.4111259634182427,1.4152866537162367,16.888037239155977,-147.42075784272123,21.127669089433454,-132.2468959830583,-148.09947165890296,-146.1701080796728,1.2145618865721346
2024-11-11,2024-11-11T10:43:28.760824,6.060266171937218,0.46515305316025973,6.955404748229171,0.5725270151981814,-121.4771235831625,32.5250447429607,-105.10402685057612,-126.39402827841161,-118.23847974309008,4.6975996336065915,6.061344695962078,3.2584307507152537,1.515650006973658,16.11254047700009,-147.45642480006143,21.67539104216243,-132.06990203333746,-148.3017302738819,-146.39251138173705,1.3007792652612533
2024-11-11,2024-11-11T10:43:31.177256,6.0602184916009785,0.2969613631860114,6.766777660848845,0.3754373283525285,-121.06549710850253,32.00394506268444,-104.54311918370067,-125.11307434901758,-117.85954081975107,4.779245024300371,6.061343975017998,3.589641990254802,1.4325067136700227,18.09452863324134,-147.3577795093647,20.137893815098437,-131.5507375858133,-148.1496376077888,-146.28724702042098,1.2594140208972262
2024-11-11,2024-11-11T10:43:33.602623,6.060166212671458,0.45848423502608776,7.46347023562771,0.23532241551074895,-121.46353862986132,31.94087382366277,-105.12436060581962,-125.72314557063642,-116.74496417307932,4.973386253138029,6.061349958665048,3.400072042434789,1.55126234875803,17.424094719204977,-147.32024609090908,20.898705181603674,-131.3238719465598,-148.115576180776,-146.18895958084252,1.2692217624580762
2024-11-11,2024-11-11T10:43:36.020949,6.060233213031227,0.39627544636264606,7.188774070523763,0.4561933163086711,-121.5280067209526,33.24726326772954,-104.61510549415196,-125.54385436478148,-118.4592249994464,4.843630047057279,6.061336855690521,3.118009170197473,1.5685638511180002,14.799096491967042,-147.1671977582256,22.863523056076843,-131.76634780308925,-148.07184008782403,-145.93498146075146,1.3401603650354799
2024-11-11,2024-11-11T10:43:38.441724,6.06013624749277,0.16129114755149987,8.277803437792315,0.020338942506196833,-119.52490115948528,32.19841752281283,-104.60844262424084,-124.60599131598515,-117.35053933482075,5.125387480538153,6.061348492162526,3.332825729080652,1.4741927862097555,16.53907909489442,-147.30292555665602,20.6575087369539,-131.54263261485607,-148.0024292927885,-146.08163474596498,1.2633516032510215
2024-11-11,2024-11-11T10:43:40.955693,6.060327812197194,0.5857394780535463,6.745523574735898,0.7620755232573355,-121.68139910719691,32.00175282879613,-105.00512134693165,-126.15688140270393,-118.36719580552897,4.572007384684585,6.061345623360156,3.427677538580372,1.5521701731163091,17.471807173772604,-147.280592669552,20.813012037581785,-131.28151405721553,-148.13407871142707,-146.15176916114933,1.293396093024697
2024-11-11,2024-11-11T10:43:43.382869,6.060182327101273,0.344736290463672,7.610137499464102,0.14794525042172335,-121.09917123373747,31.089670127347773,-105.19748452916053,-125.4390957612972,-117.22058309797593,4.971516056171379,6.061338346285327,3.212935905536001,1.5733818713742664,15.302321112146295,-147.24586641361716,21.209781009650186,-130.9963400355871,-147.96760802144294,-145.85991067735262,1.3404451361351768
2024-11-11,2024-11-11T10:43:45.878364,6.060286612290987,0.5244376933225382,6.711594640649423,0.6020884407135871,-122.04541075647452,31.628045441302476,-104.99845118291941,-126.04138471786192,-118.27145952155105,4.58865693112197,6.061342199846004,3.1959335113717655,1.6567094945571625,14.475151280272403,-147.27570580805826,18.49737545423497,-132.1874088422947,-148.12030351985572,-145.90105537045707,1.3341414319186375
2024-11-11,2024-11-11T10:43:48.294778,6.060282897007134,0.4352022216934042,6.667896786405578,0.6818811247437604,-121.55937477016442,33.23184342250336,-104.49460420408086,-125.73372540007088,-118.85043810707133,4.679312856878992,6.0613508194437875,3.7005566845844187,1.415878005653326,19.787197289902483,-147.46018482270495,20.572065409835005,-131.30443126010067,-148.18585118051718,-146.3901761577192,1.2113287763138416
2024-11-11,2024-11-11T10:43:50.707044,6.0602902978028474,0.5366369156962973,7.276294697642669,0.45031299343686326,-121.36369645748414,31.533725903837393,-105.47912341744487,-125.9163046708959,-117.80314283410273,4.662464408339507,6.0613515426232265,3.6630787963958142,1.415054295916093,19.162042181866752,-147.60060204286572,21.26631259388077,-131.2716005492017,-148.35099183657056,-146.532556171252,1.2248815423003536
