entropy,skewness,interquartile_range,kurtosis,percentile_75,range,maximum,median,percentile_90,mean_absolute_deviation,session,timestamp,device_label
2.365491358957125,9.42884717304731,3.2274761793770056e-08,90.64874788012922,3.394914603616335e-08,0.0002082800560924906,0.0002082803771126301,4.265503952061678e-09,1.7757887775731673e-07,4.322756915613154e-06,24,2024-12-02T13:39:22.165646,empty
2.410603615583393,9.560573567151016,3.099223978526712e-08,93.55869303810567,3.2858412608986435e-08,0.00019086839902553328,0.00019086881429332454,4.617119588439881e-09,1.716383817698285e-07,4.040667688321865e-06,25,2024-12-02T13:39:23.936343,empty
2.3624237457641,9.436952688588798,2.792830840729175e-08,90.7367666805111,2.968492555691075e-08,0.00020975476186983183,0.0002097551454288876,4.379692312298795e-09,1.881301847291749e-07,4.299580702873307e-06,26,2024-12-02T13:39:25.658168,empty
2.396737621588251,9.402142826756936,3.268884839434765e-08,90.00501520457522,3.4279882636241025e-08,0.00019027198009559411,0.0001902723357108183,3.64189947871109e-09,1.9506465866609775e-07,4.191073609568389e-06,27,2024-12-02T13:39:27.610539,empty
2.4077930366785454,9.551137265205892,3.089274499503967e-08,93.21558771028815,3.285525332328355e-08,0.00019456470525106584,0.00019456506687205052,5.879850325287839e-09,2.1472432400159872e-07,4.056128501942775e-06,28,2024-12-02T13:39:29.357146,empty
2.3628021494952147,9.435199217498209,2.7362163344211108e-08,90.69559278851993,2.922418377926182e-08,0.00020972042818360749,0.0002097208334102338,4.4499703841383045e-09,1.8362965232754252e-07,4.3032896101488975e-06,29,2024-12-02T13:39:30.963010,empty
2.394343299801818,9.50652091767915,2.6053038303348208e-08,92.00842549793826,2.799169319753396e-08,0.00019167850616521798,0.0001916789308172736,4.921736963875116e-09,1.8962321365473673e-07,4.089887278921037e-06,30,2024-12-02T13:39:32.671496,empty
2.3846982881518115,9.375828578171145,3.178783687424345e-08,89.40385180568408,3.3510270252084986e-08,0.0001941887690750106,0.0001941891164657896,4.262231872372035e-09,1.9534841621271995e-07,4.271658624520632e-06,31,2024-12-02T13:39:34.532836,empty
2.3670904305771354,9.452518419492115,2.9550644752425263e-08,90.85703244099324,3.12368162380736e-08,0.00020384035929820726,0.00020384080385772073,4.45887884993594e-09,2.1099520955498147e-07,4.238086951713086e-06,32,2024-12-02T13:39:36.198497,empty
2.3679331721721613,9.458530638788945,2.9852426407870907e-08,90.92953624070118,3.1803873692020406e-08,0.00019956174220307784,0.00019956216332781842,4.439631775402862e-09,2.1647387970960907e-07,4.209280467240501e-06,33,2024-12-02T13:39:37.875148,empty
2.4074524563819786,9.481198807545764,2.8763016910674744e-08,91.82626778517516,3.048238875095358e-08,0.00018964075506627088,0.00018964124778219057,4.371896072184661e-09,1.8966446840073253e-07,4.119523913919997e-06,34,2024-12-02T13:39:39.545569,empty
2.361838340240194,9.439408836290763,3.194996496077919e-08,90.72292516582745,3.372062117954098e-08,0.00020938815961875763,0.00020938859655427803,4.395954335900953e-09,1.9233406074791425e-07,4.286857936662943e-06,35,2024-12-02T13:39:41.171496,empty
2.3708801731278735,9.385726293117022,2.9757460368299068e-08,89.62829065448842,3.144649946248832e-08,0.00020404581528185166,0.00020404630653900798,4.221078659416664e-09,1.82918725625033e-07,4.305211238797418e-06,36,2024-12-02T13:39:42.858554,empty
2.422441317821975,11.172876086632357,1.9217790624706627e-08,143.09642519182307,2.08267932913886e-08,0.00018551595558125678,0.00018551631983418167,3.0860504549840025e-09,1.2192637317636621e-07,2.680258833299424e-06,37,2024-12-02T13:39:44.642618,empty
2.397977330422278,9.472088847476497,3.418189500550801e-08,91.55881468706072,3.601709311962929e-08,0.00019440540474738966,0.0001944058316539535,5.159207549646183e-09,1.9484145846829925e-07,4.178408265681853e-06,38,2024-12-02T13:39:46.268661,empty
2.364092874540728,10.429673643035924,4.4720080424846956e-08,115.4249935403442,4.942421643669693e-08,0.0002900571247915819,0.00029005782980662107,1.1386442544732194e-08,2.847499202725838e-07,4.791059370167971e-06,39,2024-12-02T14:23:12.918435,empty
2.3819460802786394,10.435269228062431,4.758258165452054e-08,115.1727911064387,5.1877101629226794e-08,0.0002793133640234826,0.0002793139035925826,9.2672941918051e-09,2.787540681091271e-07,4.730682628806708e-06,40,2024-12-02T14:23:16.156644,empty
2.3622973933658376,10.368517451205973,4.447921898612552e-08,113.7368437523181,4.876198582064957e-08,0.00028656735202047055,0.00028656800488730737,9.107738417498108e-09,3.289635095274991e-07,4.808322489141014e-06,41,2024-12-02T14:23:19.257337,empty
2.370116220637628,10.404172439112507,4.162358183921263e-08,114.25727136241902,4.62398993587133e-08,0.0002807582366827597,0.0002807591310388121,9.395111310108307e-09,3.2505216836683355e-07,4.703685886536453e-06,42,2024-12-02T14:23:21.718195,empty
2.3656401937703806,10.435606178947587,4.318869985350052e-08,115.41621474819264,4.7099911345856205e-08,0.00028721704324282104,0.0002872177675463782,8.418125444457892e-09,3.4944478669505436e-07,4.777600865737627e-06,43,2024-12-02T14:23:24.347042,empty
